id,Author,Ocena,Poleca,Kupił,Data wystawienia opini,Data kupna,Przydatna opinia,Nieprzydatna opinia,Treść wiadomości,Wady,Zalety
13829219,m...1,5,Polecam,True,2021-01-24 13:13:35,2021-01-11 12:32:30,2,0,"Bardzo dobre wykonie i ładny design.Działa super (może mała uwago co do dodatkowej automatyzacji - nie jestem jeszcze pewien, że działa zawsze tak jak ustawiłem - a zrobiłem tam parę warunków) Generalnie produkt wart polecenia w szczególności za tą cenę to uważam, iż jeden z najlepszych produktów w rankingu jakość vs cena. Uwaga ogólna - mieszkam w szeregówce na bardzo dużym osiedlu domków  (my jak i spora część sąsiadów jesteśmy na gazówce ale sporo na osiedlu jeszcze zostało najgorszych zasypowych śmieciuchów) gdzie są znaczne przekroczenia jakości powietrza (monitoring jakości -airly) - to czuć na zewnątrz. Zakładałem, że do domu też się to przenosi. Nie, mamy rewelacyjne powietrze od 4 do 12 (raz jak na chwile otworzyłem balkon to podskoczyło momentalnie do 90) stąd oczyszczasz nie chodzi zbyt często.Ale nie żałuję zakupu - przy okazji sprawdza się w walce z brzydkimi zapachami jak żona coś smaży. Zapach nie idzie na górę a na parterze po kwadransie również jest już ok. w lato przyda się jak sąsiedzi zaczną palić fajki obok (niestety nie dociera do nich, że dym papierosowy nam przeszkadza) - taki urok szeregówki (ale są sympatyczni i pogadać można tylko nałogowcy :)",,"['głośność pracy', 'skuteczność', 'wydajność', 'wygląd']"
13912420,Użytkownik Ceneo,5,Polecam,True,2021-02-06 21:29:33,2021-01-22 12:29:51,2,2,"Jest to mój pierwszy oczyszczacz powietrza, więc niestety nie mam punktu odniesienia, ale wydaje się, że działa odpowiednio. Czujnik temperatury i wilgotności mniej więcej pokrywa się z osobnym miernikiem, który również posiadam, na trybie automatycznym włącza się mocniej tylko jak coś wyczuje. Na nocnym trybie pracy zupełnie nic nie słychać, na automatycznym na niskich obrotach też właściwie nic. Nie miałam problemów z podłączeniem z telefonem ani z wifi. Fajny desing, łatwo się wpasowuje do wnętrza. Nie wiem tylko, dlaczego kiedy włączę w pobliżu nawilżacz powietrza, to sczytuje to jako zanieczyszenie również po jego wyłączeniu ale dłuższej pracy, ale czytałam gdzieś, że właśnie ultradźwiękowe nawilżacze powietrza rozbijają cząsteczki wody, przez co wdychamy pył, więc może to jest na to dowód? Ogólnie oczyszczacz dość szybko i efektywnie czyści powietrze z wykrytych zanieczyszczeń. Nie dostrzegam wad, prosty, ładny i działa jak trzeba. Fajny stosunek jakości do ceny moim zdaniem.",,"['cicha praca', 'design', 'dobry wygląd', 'głośność pracy', 'ładny wygląd', 'łatwość demontażu filtra', 'możliwość kontroli przez internet', 'możliwość sterowania mocą wiatraka', 'nowoczesny wygląd', 'pomiar pm 2.5', 'prosta obsługa', 'przyjemny i czytelny wyświetlacz', 'przystępna cena', 'skuteczność', 'sterowanie przez internet (np. z pracy)', 'sterowanie z telefonu', 'stosunek cena - jakość', 'świetny design', 'wydajność', 'wygląd', 'wyświetlacz oled']"
13335895,w...i,5,Polecam,True,2020-11-06 12:45:53,2020-11-02 09:08:07,7,1,"Produkt w porządku, jest to moj pierwszy oczyszczacz. Jedyne do czego mozna sie przyczepić to głośność, ale moze tak to jest z oczyszczaczami. Napewno dziala, bo objawy alergiczne nieco sie obniżyły. Napewno na plus zasluguje system Xaiomi Home. W polaczeniu z H3, tworzy dobra baze do automatyki mieszkania. Gratis mamy czujnik temperatury i wilgoci, co w apce mozna śpiąc z innymi urządzeniami. Reasumujac polecam, ale warto szukac na przecenach. 580 zł to duzo.",,"['jakość wykonania', 'łatwość demontażu filtra', 'nowoczesny wygląd', 'skuteczność', 'wydajność', 'wygląd', 'wyświetlacz oled']"
13750120,Marcin,5,Polecam,True,2021-01-11 20:59:27,2021-01-03 16:55:39,3,0,"Bardzo przydatne urządzenie szczególnie zimą, gdy stężenie PM2,5 w powietrzu potrafi wielokrotnie przekroczyć dopuszczalne dla zdrowia normy. Ładnie wygląda, ma ciekawy, duży i czytelny wyświetlacz z możliwością zmiany trybów pracy. Aplikacja umożliwia skonfigurowanie własnych automatyzacji oraz dostosowania działania urządzenia. Filtr wg zapewnień producenta ma wystarczyć na ok pół roku. Koszt jego wymiany to ok 140 zł. Mały minus jedynie za brak integracji z Apple HomeKit.",,"['głośność pracy', 'skuteczność', 'wydajność', 'wygląd']"
14028451,OlaPoz,4,Polecam,True,2021-02-26 19:48:05,2021-02-16 14:27:08,1,0,"Oczyszczacz powietrza Xiaomi Mi Air Purifier 3H jest wydajny, filtr jest duży i wydajny (nie wymaga częstego wymieniania) a przy tym dość tani, co powoduje, że oczyszczacz nie generuje wysokich kosztów podczas użytkowania. Oczyszczacz ładnie wygląda, można go obsługiwać przez telefon, istnieje możliwość ustawienia automatyzacji (użytkownik może zdecydować kiedy i w jakim trybie oczyszczacz ma się włączyć/wyłączyć). Jest cichy (oczywiście w zależności od poziomu wydajności jaką się ustawi)",,"['głośność pracy', 'jakość wykonania', 'łatwość demontażu filtra', 'nowoczesny wygląd', 'skuteczność', 'wydajność', 'wygląd']"
13872824,z...9,5,Polecam,True,2021-01-31 21:11:05,2021-01-23 16:13:42,1,0,"Bardzo dobrze wygląda, jest wykonany z ładnego odcienia białego tworzywa, delikatny design, nienachalna konstrukcja, pasuje do nowoczesnego wnętrza, bardzo dobrze wykonany. Sterowanie smartfonem bardzo przydatne, szczególne wybór opcji ręcznego sterowania. Uważam ze jest to bardzo dobrze wydane ca. 550 złotych",,"['cicha praca', 'design', 'dobry wygląd', 'głośność pracy', 'jakość wykonania', 'ładny wygląd', 'łatwość demontażu filtra', 'możliwość sterowania mocą wiatraka', 'nie przeładowany ficzerami', 'nowoczesny wygląd', 'pomiar pm 2.5', 'prosta obsługa', 'przystępna cena', 'same zalety jest świetny. spelnia moje', 'skuteczność', 'sterowanie przez internet (np. z pracy)', 'sterowanie z telefonu', 'stosunek cena - jakość', 'świetny design', 'wydajność', 'wygląd', 'wyświetlacz oled']"
12594389,t...n,5,Polecam,True,2020-06-05 10:04:12,2020-06-01 20:57:34,1,0,"Jestem bardzo zadowolony, oczyszczacz cichutko filtruje sobie powietrze w moim mieszkaniu. Mieszkam na parterze i zaraz pod moimi oknami jest parking. Oczyszczacz po ustawieniu scen wzorowo zwiększa swoje obroty i po oczyszczeniu powietrza znowu cichutko sobie pracuje.",,"['cicha praca', 'głośność pracy', 'łatwość demontażu filtra', 'możliwość sterowania mocą wiatraka', 'nowoczesny wygląd', 'pomiar pm 2.5', 'prosta obsługa', 'przystępna cena', 'same zalety jest świetny. spelnia moje', 'skuteczność', 'sterowanie przez internet (np. z pracy)', 'sterowanie z telefonu', 'świetny design', 'wydajność', 'wyświetlacz oled']"
15540712,Mariusz L.,5,Polecam,True,2022-01-12 11:37:27,2021-12-28 12:41:27,0,0,"Spełnił moje oczekiwania. Cichy w trybie automatycznym, a prawie niesłyszalny w trybie nocnym. Czujnik PM 2.5 działa dobrze, szybko wykrył zanieczyszczenia po otwarciu okna w ""smogowy"" dzień. Przydatna jest funkcja pomiaru wilgotności powietrza.",,"['design', 'głośność pracy', 'jakość wykonania', 'pomiar pm 2.5', 'prosta obsługa', 'skuteczność', 'sterowanie przez internet (np. z pracy)', 'wydajność', 'wygląd']"
13333978,Robert,4,Polecam,True,2020-11-06 09:43:18,2020-09-29 12:28:54,14,1,"Xiaomi Air Purifier 3H to dobry stosunek ceny do jakości. Polecało mi tą markę kilka bliskich osób i nie zawiodłem się.Co najważniejsze, Chiński producent urządzenie ma zaprogramowane  opirając się na chińskich normach, co oznacza, że nie jest tak restrykcyjne  jak urządzenia opierające się na normach USA. I tak np Xiaomi uruchomi się na wyższe obroty dopiero kiedy pył PM 2,5 przekroczy 75 jednostek (mikrogramów), a jak stężenie spadnie poniżej 74um wróci do poprzedniej wolnej pracy. Normy UE mówią, że powyżej 25 jednostek powietrze jest już niezdrowe. Są urządzenia, które załączają się automatycznie na wyższe obroty właśnie już od 15 jednostek PM 2,5. Natomiast spokojnie można to sobie skonfigurować za pomocą aplikacji i urządzenie będzie reagowało na wyznaczony przez nas poziom zanieczyszczenia szybciej niż ma to miejsce w  ustawieniach fabrycznych. Wygodny wyświetlacz pomaga monitorować stan powietrza tzn. temperaturę, wilgotność oraz poziom stężenia PM 2,5 nie używając aplikacji. Wyświetlacz można przyciemnić oraz wyłączyć guzikiem. A dźwięk przechodzenia między trybami można wyłączyć za pomocą aplikacji.Jestem alergikiem i długo drążyłem temat, który oczyszczacz będzie dobry. Mam w domu drugi oczyszczacz (kupiony 2 tygodnie później) znacznie droższy i w zasadzie wychodzi na to, że te historie o czujnikach pyłków między bajki można włożyć (te systemy anty alergiczne to nic innego jak po prostu włączanie urządzenia na wyższe obroty)!!!  Zasada jest prosta, jeśli w domu jest alergik to w okresie alergicznym uruchamiamy nasz oczyszczacz na wyższe obroty niż minimalne kilka razy dziennie, żeby oczyszczał powietrze z tych pyłków. Wszystkie pyłki wyłapywane są przez filtr Hepa i od cała prawda. Reszta to tylko marketingowe żerowanie na ludziach zmagających się z uciążliwymi objawami alergii, którzy szukając ratunku są wstanie zaryzykować i wydać większe pieniądze licząc, że droższy sprzęt będzie lepszy. Lepiej kupić np. 3 urządzenia w średniej lub tańszej cenie do każdego pomieszczenia niż jedno bardzo drogie.  Dobierzcie sobie tylko sprzęt o większej zalecanej powierzchni niż macie pokuj. Żeby sobie spokojnie i wydajnie pracowało na niskich obrotach.A co do poziomu hałasu to ten 6 razy droższy hałasuje tak samo, więc przy żadnym z nich nie śpi nam się komfortowo.",,"['skuteczność', 'wydajność', 'wygląd']"
11688578,Użytkownik Ceneo,5,Polecam,True,2020-02-04 11:32:26,2020-01-04 15:32:28,13,2,"Produkt spełnia swoje wymagania, jest niewielki, łatwy do skonfigurowania, WiFi się nie zrywa. Oczyszcza szybko. Sterowanie z telefonu działa pod komórka w LTE (nie trzeba być pod domowym WiFi). Aplikacja xiaomi bardzo do raz umożliwia ustalanie harmonogramu włączania i wyłączania urządzenia, programowanie zdarzeń w zależności od PM2.5. Jedna rzecz, która nie do końca zdawałem sobie sprawę - wybierając każdy patrzry na CADR, czy urządzenie obsłuży np 40 m2, ale pamiętajcie, że jeżeli włączycie go na dużej efektywności jest bardzo głośny. Można to zrobić na chwilę, ale nie na długo. Optymalna czy akceptowalna głośność przy ustawieniu do ok20m2, max 25. Jeżeli masz bardzo duże pomieszczenie zawsze lepszym pomysłem będzie zakup 2 niż 1 i piłowanie go na dużych obrotach...",,
